,timestamp,state,action,reward,next_state
10,"2008-04-15 00:07:00,168","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '1020', 'ST_31003477.Q_LISSE.value': '972.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '660', 'ST_31003477.Q_LISSE.value': '960.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}"
11,"2008-04-15 00:07:40,172","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '660', 'ST_31003477.Q_LISSE.value': '960.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '900', 'ST_31003477.Q_LISSE.value': '900.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}"
12,"2008-04-15 00:08:20,157","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '900', 'ST_31003477.Q_LISSE.value': '900.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '420', 'ST_31003477.Q_LISSE.value': '756.0', 'ST_31003477.T.value': '0.0', 'ST_31003477.T_LISSE.value': '0.0'}"
13,"2008-04-15 00:09:00,164","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '420', 'ST_31003477.Q_LISSE.value': '756.0', 'ST_31003477.T.value': '0.0', 'ST_31003477.T_LISSE.value': '0.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '840', 'ST_31003477.Q_LISSE.value': '720.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}"
14,"2008-04-15 00:09:40,171","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '840', 'ST_31003477.Q_LISSE.value': '720.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '1140', 'ST_31003477.Q_LISSE.value': '840.0', 'ST_31003477.T.value': '3.0', 'ST_31003477.T_LISSE.value': '3.0'}"
15,"2008-04-15 00:10:20,172","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '1140', 'ST_31003477.Q_LISSE.value': '840.0', 'ST_31003477.T.value': '3.0', 'ST_31003477.T_LISSE.value': '3.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '1260', 'ST_31003477.Q_LISSE.value': '1116.0', 'ST_31003477.T.value': '4.0', 'ST_31003477.T_LISSE.value': '4.0'}"
16,"2008-04-15 00:11:00,168","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '1260', 'ST_31003477.Q_LISSE.value': '1116.0', 'ST_31003477.T.value': '4.0', 'ST_31003477.T_LISSE.value': '4.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '1380', 'ST_31003477.Q_LISSE.value': '1260.0', 'ST_31003477.T.value': '4.0', 'ST_31003477.T_LISSE.value': '4.0'}"
17,"2008-04-15 00:11:40,167","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '1380', 'ST_31003477.Q_LISSE.value': '1260.0', 'ST_31003477.T.value': '4.0', 'ST_31003477.T_LISSE.value': '4.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '720', 'ST_31003477.Q_LISSE.value': '1164.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}"
18,"2008-04-15 00:12:20,162","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '720', 'ST_31003477.Q_LISSE.value': '1164.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '540', 'ST_31003477.Q_LISSE.value': '816.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}"
19,"2008-04-15 00:13:00,161","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '540', 'ST_31003477.Q_LISSE.value': '816.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '840', 'ST_31003477.Q_LISSE.value': '648.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}"
20,"2008-04-15 00:13:40,160","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '840', 'ST_31003477.Q_LISSE.value': '648.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '900', 'ST_31003477.Q_LISSE.value': '756.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}"
21,"2008-04-15 00:14:20,163","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '900', 'ST_31003477.Q_LISSE.value': '756.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '780', 'ST_31003477.Q_LISSE.value': '852.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}"
22,"2008-04-15 00:15:00,156","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '780', 'ST_31003477.Q_LISSE.value': '852.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '660', 'ST_31003477.Q_LISSE.value': '780.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}"
23,"2008-04-15 00:15:40,162","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '660', 'ST_31003477.Q_LISSE.value': '780.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '780', 'ST_31003477.Q_LISSE.value': '732.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}"
24,"2008-04-15 00:16:20,166","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '780', 'ST_31003477.Q_LISSE.value': '732.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '480', 'ST_31003477.Q_LISSE.value': '684.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}"
25,"2008-04-15 00:17:00,170","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '480', 'ST_31003477.Q_LISSE.value': '684.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '540', 'ST_31003477.Q_LISSE.value': '564.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}"
