Wall time,Step,Value
1720748031.9035,516000,41571.2890625
1720748199.2121642,524000,40555.671875
1720748322.8163378,530000,42154.015625
1720748363.046697,532000,38075.5859375
1720748425.100676,535000,38150.42578125
1720748550.723171,541000,38589.04296875
1720748656.441945,546000,39894.2890625
1720748863.771894,556000,39629.6796875
1720748989.225764,562000,40899.38671875
1720749113.030765,568000,40574.3046875
1720749196.7112792,572000,40658.421875
1720749325.4462268,578000,41974.01953125
1720749369.2008069,580000,41967.23046875
1720749433.459114,583000,41982.35546875
1720749478.497544,585000,40589.25
1720749499.4497862,586000,40605.5078125
1720749631.859114,592000,40277.29296875
1720749825.843477,601000,36787.03125
1720766427.524866,612000,37178.5078125
1720766463.082187,614000,37306.2421875
1720766673.816548,626000,36298.23046875
1720766795.263948,633000,37809.609375
1720766811.834697,634000,37996.203125
1720766847.05483,636000,37474.90625
1720766900.488847,639000,38041.25
1720766937.421206,641000,38653.62890625
1720767153.891437,653000,38279.7890625
1720767206.5425038,656000,37487.6875
1720767277.939012,660000,38585.83984375
1720767330.706031,663000,39190.125
1720767385.2893739,666000,39977.6953125
1720767457.5536509,670000,40405.7421875
1720767475.045036,671000,40609.90625
1720767546.8736682,675000,41406.83203125
1720767644.770404,680000,42654.94140625
1720774100.8121018,706000,44326.0703125
1720774181.620383,710000,46845.09765625
1720774259.4717429,714000,46914.46875
1720774278.954023,715000,46926.078125
1720775287.509718,717000,47228.265625
1720775446.667661,726000,48281.43359375
1720775519.040703,730000,48547.1640625
1720775588.2018602,734000,49030.1328125
1720775675.624674,739000,49777.3671875
1720775747.3669708,743000,50444.03515625
1720775905.443573,752000,50379.94140625
1720775976.636807,756000,50896.1953125
1720775994.730073,757000,51044.8203125
1720776013.4230149,758000,51304.06640625
1720776049.908753,760000,51545.375
1720776067.52704,761000,51362.01953125
1720776173.406595,767000,51925.05859375
1720776263.947385,772000,52703.23046875
1720776299.92197,774000,52523.328125
1720776395.313199,779000,52676.171875
1720776415.4255612,780000,52798.92578125
1720776434.270067,781000,52934.3984375
1720776509.775245,785000,53311.296875
1720776589.472943,789000,53524.3203125
1720776687.775764,794000,54303.4453125
1720776707.629426,795000,54424.70703125
1720776727.5901692,796000,54570.60546875
1720777176.917218,819000,53875.6796875
1720777257.625841,823000,52504.38671875
1720778867.0072992,853000,53735.73046875
1720778966.520103,858000,53996.48828125
1720779005.4496891,860000,54049.4921875
1720779122.870242,866000,52609.76953125
1720779281.728214,874000,53072.37109375
1720779403.262454,880000,52993.7578125
1720779482.798072,884000,53243.35546875
1720779624.298211,891000,53064.08984375
1720779663.493214,893000,53155.234375
1720779786.526588,899000,53336.453125
1720779826.7269309,901000,52607.6640625
1720797407.0365,915000,53002.8515625
1720797428.1215491,916000,53023.2890625
1720797626.466559,926000,52319.66015625
1720797685.89108,929000,52412.734375
1720797866.129746,938000,52972.46484375
1720797942.276143,942000,53086.16796875
1720798018.51024,946000,52486.6640625
1720798192.442924,955000,52675.82421875
1720798211.095573,956000,52684.546875
1720798347.9373739,962000,52019.390625
1720798883.203729,963000,52012.08984375
1720798984.954747,968000,50755.3828125
1720799229.890843,980000,51008.9609375
1720799351.176179,986000,50194.328125
