Step,Travel_Time
6000.0,47255.73046875
70646.46464646465,44367.1640625
135292.9292929293,39904.5078125
199939.39393939392,41027.6484375
264585.8585858586,32634.00390625
329232.3232323232,38809.15234375
393878.78787878784,41798.0703125
458525.2525252525,44772.59375
523171.71717171714,42154.015625
587818.1818181818,40605.5078125
652464.6464646464,37487.6875
717111.1111111111,46926.078125
781757.5757575757,52934.3984375
846404.0404040404,53735.73046875
911050.505050505,53023.2890625
975696.9696969696,51008.9609375
1040343.4343434343,53273.79296875
1104989.8989898989,57454.39453125
1169636.3636363635,56107.0390625
1234282.8282828282,53156.3984375
1298929.292929293,52813.0078125
1363575.7575757576,51409.953125
1428222.2222222222,52960.44921875
1492868.6868686867,52331.05859375
1557515.1515151514,54708.66796875
1622161.616161616,56307.49609375
1686808.0808080807,57512.26953125
1751454.5454545454,56244.0859375
1816101.01010101,54420.375
1880747.4747474745,53200.38671875
1945393.9393939392,55662.2734375
2010040.404040404,53232.890625
2074686.8686868686,54909.58203125
2139333.333333333,57521.6328125
2203979.7979797977,54778.97265625
2268626.2626262624,55315.3984375
2333272.727272727,54063.70703125
2397919.1919191917,54996.64453125
2462565.6565656564,54831.5859375
2527212.121212121,55100.203125
2591858.585858586,53857.37890625
2656505.0505050505,55487.984375
2721151.515151515,53651.5546875
2785797.97979798,53441.0859375
2850444.4444444445,54239.35546875
2915090.9090909087,54853.5390625
2979737.3737373734,54199.5
3044383.838383838,54084.49609375
3109030.3030303027,53434.1171875
3173676.7676767674,54016.890625
3238323.232323232,51491.87109375
3302969.696969697,55547.97265625
3367616.1616161615,55831.1171875
3432262.626262626,59253.3359375
3496909.090909091,60671.6171875
3561555.5555555555,56694.859375
3626202.02020202,51864.12109375
3690848.484848485,46668.0546875
3755494.949494949,51269.72265625
3820141.4141414138,59318.81640625
3884787.8787878784,55187.85546875
3949434.343434343,53252.15234375
4014080.808080808,54964.4296875
4078727.2727272725,57199.78515625
4143373.737373737,53892.1484375
4208020.202020202,58792.8125
4272666.666666666,55477.609375
4337313.131313131,55991.30078125
4401959.595959595,58999.890625
4466606.060606061,58269.10546875
4531252.525252525,59863.140625
4595898.98989899,53962.4921875
4660545.454545454,54270.921875
4725191.919191919,53707.11328125
4789838.3838383835,54263.4921875
4854484.848484849,57668.27734375
4919131.313131313,60687.55078125
4983777.777777777,58428.73828125
5048424.242424242,55839.51171875
5113070.707070706,58592.0703125
5177717.171717172,57860.85546875
5242363.636363636,57363.86328125
5307010.101010101,58302.56640625
5371656.565656565,56391.8671875
5436303.03030303,59559.640625
5500949.4949494945,56804.35546875
5565595.95959596,55528.2109375
5630242.424242424,56812.37890625
5694888.888888889,57313.015625
5759535.353535353,54381.01171875
5824181.818181817,55443.91015625
5888828.282828283,53940.35546875
5953474.747474747,51269.87109375
6018121.212121212,55970.15234375
6082767.676767676,57012.78125
6147414.141414141,56542.8125
6212060.6060606055,54990.53515625
6276707.070707071,55996.73828125
6341353.535353535,53731.3671875
6406000.0,53842.95703125
